Date,Close,High,Low,Open,Repaired?,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Close_lag1,Close_lag2,Close_lag3,Close_lag5,Close_lag10,Open_lag1,Open_lag2,Open_lag3,Open_lag5,Open_lag10,High_lag1,High_lag2,High_lag3,High_lag5,High_lag10,Low_lag1,Low_lag2,Low_lag3,Low_lag5,Low_lag10,Close_rollmean3,Close_rollstd3,Close_rollmean5,Close_rollstd5,Close_rollmean10,Close_rollstd10,Close_rollmean20,Close_rollstd20,Open_rollmean3,Open_rollstd3,Open_rollmean5,Open_rollstd5,Open_rollmean10,Open_rollstd10,Open_rollmean20,Open_rollstd20,High_rollmean3,High_rollstd3,High_rollmean5,High_rollstd5,High_rollmean10,High_rollstd10,High_rollmean20,High_rollstd20,Low_rollmean3,Low_rollstd3,Low_rollmean5,Low_rollstd5,Low_rollmean10,Low_rollstd10,Low_rollmean20,Low_rollstd20,FII_Gross_Purchase,FII_Gross_Sales,FII_Net,DII_Gross_Purchase,DII_Gross_Sales,DII_Net,Repo Rate,%Change,sentiment_daily_x,sentiment_daily_y,"('Date', '')","('Close', '^NSEI')","('High', '^NSEI')","('Low', '^NSEI')","('Open', '^NSEI')","('Volume', '^NSEI')"
01-01-20,12182.5,12222.2002,12165.2998,12202.15039,FALSE,304100,-120249.594,304100,-0.3954278,0,0,0,0,12190,50,1000,12182.5,12182.5,12182.5,0,0,0,0,12190,12246.9004,12133.0996,0.933558655,0.434095367,0,0,12165.2998,12222.2002,12193.75,0.467066694,0.3022861,0,0,0,0,0,12182.5,12182.5,12182.5,12182.5,0,0,0,10.9815583,1,-1205.807972,109.851672,109.851672,0,12193.75,12193.75,12193.75,12193.75,0,0,0,0,0,13858.40089,14694.21829,0,0,0,12165.2998,21834.34961,0,0,100,0,0,0,0,0,30.22860999,30.22860999,-69.77139001,0,0,0,0,0,0,0,0,12182.5,0,0,0,10737.59961,10240.15039,8170.799805,6237.049805,12690.7998,10591,10324.90039,8230.650391,6276.75,12702.15039,10752.2002,10326.09961,8230.650391,6286.850098,12741.15039,10560.7998,10230.2002,8154.450195,6230.549805,12624.84961,10983.18327,891.5637493,9868.889843,1651.02741,10822.02983,5973.224097,11219.52485,5488.744668,10953.40006,868.3973553,9878.570116,1594.930949,10869.76509,6010.792703,11254.1051,5488.972083,11027.93327,872.993678,9927.270118,1628.983157,10912.30508,6031.743821,11298.56008,5508.36597,10908.33333,903.5032414,9819.15,1622.648406,10770.11504,5939.742638,11167.98252,5455.390318,40956.28,38161.6,2794.68,19437.49,18334.74,1102.75,5.40%,0.35%,0.204495238,0,,,,,,
01-01-21,14018.5,14049.84961,13991.34961,13996.09961,FALSE,358100,-145954.563,662200,-0.220408582,657471600,29843815.19,29843815.19,53968.52863,13179.5607,100,1000,13100.5,14936.5,11264.5,28.02946452,0.75,0,0,13104.94987,13162.65007,13047.24967,0.880586352,8.416351503,1,0,12165.2998,14049.84961,13107.57471,14.38532735,0.983364934,0,0,146.4615385,29.29230769,117.1692308,13100.5,13100.5,12464.96154,12318.5,0.605408259,0.568336087,0.037072172,0.029435153,2.004492913,-2123.807972,193.4834253,151.6675486,41.81587666,13107.57471,13107.57471,13107.57471,13107.57471,0,0,0,0,66.66666667,13858.40089,14694.21829,4,0,4,12165.2998,21834.34961,0,0,100,0,0,0,100,95.41379709,98.33649342,64.28255171,-1.663506575,0,0,1.188955948,0.23779119,0.951164758,1.398147455,0.279629491,1.118517964,12524.97195,15.07079828,14.03773901,15.07079828,12182.5,8383.299805,6018.049805,6071.649902,10472.5,12202.15039,8378.900391,6087.25,6182.299805,10331.5498,12222.2002,8415.049805,6108.700195,6202.5,10492.4502,12165.2998,8370.5,6011.75,6056.75,10322.15039,10518.7666,2153.982794,8651.609961,2978.348242,11617.01987,5250.664949,11802.51489,5945.355384,10562.95019,2161.973925,8692.910155,2985.617869,11638.44512,5210.315312,11795.3251,5897.393395,10600.56673,2163.40029,8725.860058,2991.467537,11684.81509,5228.963751,11863.76506,5941.137957,10486.46647,2127.26339,8627.379882,2959.386724,11565.85,5215.079979,11725.55503,5882.494352,40956.28,38161.6,2794.68,19437.49,18334.74,1102.75,4%,0%,0.067156757,0,,,,,,
01-01-24,21741.90039,21834.34961,21680.84961,21727.75,FALSE,154000,-177455.278,816200,-0.217416415,733461894.3,771187987,400515901.1,138813.8159,14797.07124,100,1550.943424,15980.9668,24264.92574,7697.007856,103.6728134,0.847716209,0,0,15987.42209,16077.05556,15897.78863,1.121299809,32.60005432,1,0,12165.2998,21834.34961,16999.82471,60.50353482,0.990438645,0,0,875.6532417,198.5644945,677.0887472,15980.9668,15980.9668,13892.1829,13016.52966,0.890091523,0.860133689,0.029957834,0.201031344,3.260946484,-5004.274769,455.9000795,253.0783923,202.8216873,16999.82471,16999.82471,16999.82471,16999.82471,0,0,0,0,100,13858.40089,14694.21829,8,0,8,12165.2998,21834.34961,1,0,100,0,0,0,100,98.14479074,99.04386448,75.86965596,-0.956135523,0,0,6.727240399,1.535681031,5.191559367,-2.914842908,-0.359264989,-2.555577919,14891.58576,55.0943424,43.88634064,78.46829789,14018.5,12182.5,10737.59961,8170.799805,23883.44922,13996.09961,12202.15039,10591,8230.650391,24225.80078,14049.84961,12222.2002,10752.2002,8230.650391,24242,13991.34961,12165.2998,10560.7998,8154.450195,23839.15039,15980.9668,5072.868114,14470.62012,4891.539455,10563.76499,5348.313237,11693.55742,5930.888982,15975.33333,5061.846163,14456.18027,4923.210902,10591.49517,5325.22297,11730.67263,5935.833665,16035.46647,5104.445104,14528.6502,4914.33836,10631.7502,5347.93526,11774.99763,5953.493259,15945.83301,5049.893668,14387.56992,4888.753638,10516.89492,5317.72884,11642.01753,5899.265829,40956.28,38161.6,2794.68,19437.49,18334.74,1102.75,6.50%,0.25%,0,0,,,,,,
01-02-10,4899.700195,4918.799805,4827.149902,4882.049805,FALSE,0,-177455.278,816200,-0.217416415,628681623.7,771187987,400515901.1,138813.8159,14797.07124,100,349.516724,13210.65015,25192.46278,1228.837515,181.3962598,0.153184781,0,0,13211.03739,13301.17497,13120.89982,1.364579829,-45.60362066,0,1,4827.149902,21834.34961,13330.74976,128.738552,0.004265858,0,0,93.44099092,177.5397938,-84.09880286,13210.65015,13210.65015,12508.72402,12415.28303,0.951376073,0.94842204,0.002954033,0.189798377,4.491850458,-2233.958118,203.518338,240.6883787,-37.1700407,13330.74976,13330.74976,13330.74976,13330.74976,0,0,0,0,-118.7733835,13858.40089,14694.21829,8,12,-4,12165.2998,21834.34961,0,1,34.2024725,0,0,0,82.50734113,36.1358276,0.426585765,65.93564789,-99.57341423,0,0,0.752628761,1.379070577,-0.626441816,-11.2791026,-2.54323251,-8.735870086,14751.71245,-77.46425056,-149.0067274,-59.78083156,21741.90039,14018.5,12182.5,0,0,21727.75,13996.09961,12202.15039,0,0,21834.34961,14049.84961,12222.2002,0,0,21680.84961,13991.34961,12165.2998,0,0,13553.36686,8430.728823,0,0,0,0,0,0,13535.29981,8432.298388,0,0,0,0,0,0,13600.99968,8466.702782,0,0,0,0,0,0,13499.78304,8437.596028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
01-02-11,5417.200195,5539.149902,5402,5537.299805,FALSE,0,-177455.278,816200,-0.217416415,538869963.2,771187987,400515901.1,138813.8159,14797.07124,100,349.516724,11651.96016,24050.48019,-746.559873,212.8143224,0.24856838,0,0,11659.38659,11758.92663,11559.84655,1.707466173,-30.85515282,0,1,4827.149902,21834.34961,13330.74976,145.9599885,0.034694147,0,0,-479.1861684,46.19460134,-525.3807698,11651.96016,11651.96016,11417.72036,11896.90653,0.955014846,0.944094251,0.010920595,0.065230943,5.794558664,-675.268128,61.5183633,204.8543756,-143.3360123,13330.74976,13330.74976,13330.74976,13330.74976,0,0,0,0,-79.6692379,13858.40089,14694.21829,8,12,-4,12165.2998,21834.34961,0,0,35.60451508,0,0,0,70.95700153,37.18523923,3.469414737,34.31328833,-96.53058526,0,0,-4.027821581,0.297692146,-4.325513726,-18.92274914,-5.819135836,-13.1036133,14650.37149,10.56187071,10.04050942,-55.53293499,4899.700195,21741.90039,14018.5,10472.5,6090.899902,4882.049805,21727.75,13996.09961,10331.5498,6135.950195,4918.799805,21834.34961,14049.84961,10492.4502,6144.950195,4827.149902,21680.84961,13991.34961,10322.15039,6057.950195,10686.26693,9577.955159,11651.96016,6930.983401,11240.00991,5382.221903,11846.3499,5840.721743,10715.69987,9542.341127,11669.06992,6901.7848,11218.70508,5363.399402,11829.50251,5793.596017,10764.09977,9592.133869,11712.86983,6936.127344,11289.50508,5369.135536,11895.87754,5839.559239,10636.6665,9568.860879,11613.32978,6927.255223,11160.60508,5362.863376,11761.96257,5780.916483,52683.49,53405.68,-722.19,24798.87,24163.88,634.99,6.25%,-0.25%,0,0,,,,,,
01-02-12,5235.700195,5244.600098,5159,5198.149902,FALSE,0,-177455.278,816200,-0.217416415,461888539.8,771187987,400515901.1,138813.8159,14797.07124,100,349.516724,10582.5835,22869.73442,-1704.567432,232.2145804,0.282419727,0,0,10585.00551,10682.22222,10487.78879,1.836876081,-27.01227087,0,1,4827.149902,21834.34961,13330.74976,160.7093364,0.024022196,0,0,-936.8435022,-150.4130194,-786.4304828,10582.5835,10582.5835,10466.64033,11403.48383,0.951911796,0.948839531,0.003072265,-0.132546787,7.011797641,394.1085322,-35.90412587,164.7279587,-200.6320846,13330.74976,13330.74976,13330.74976,13330.74976,0,0,0,0,-66.29015397,13858.40089,14694.21829,8,12,-4,12165.2998,21494.20562,0,0,35.32024816,0,0,0,62.64270452,37.11514699,2.402219648,2.099406717,-97.59778035,-321.5066975,0,-8.215414831,-1.40492925,-6.810485582,-25.90786614,-9.836881897,-16.07098424,14431.77158,-3.350439221,-3.407852479,-57.02277698,5417.200195,4899.700195,21741.90039,12182.5,17123.59961,5537.299805,4882.049805,21727.75,12202.15039,17025.55078,5539.149902,4918.799805,21834.34961,12222.2002,17142.34961,5402,4827.149902,21680.84961,12165.2998,16960.05078,5184.200195,262.5657061,10262.6002,7473.109083,11587.4499,6803.116459,11694.43743,6493.539938,5205.833171,327.6925618,10268.26982,7455.131794,11657.98003,6829.063966,11697.87263,6464.352351,5234.183268,310.3062092,10317.34981,7488.009838,11695.03511,6841.182967,11768.89504,6509.841133,5129.383301,288.5671853,10212.06982,7474.682508,11546.69004,6775.063156,11612.14751,6428.149258,38711.73,41098.87,-2387.14,18900.48,17972.47,928.01,6.25%,-0.25%,0,0,,,,,,
01-02-13,5998.899902,6052.950195,5983.200195,6040.950195,FALSE,159300,-265043.068,975500,-0.271699711,413272707.5,35740860.91,278924221,162034.7241,13362.40975,100,349.516724,9927.771554,21747.12182,-1891.578716,238.1068139,0.33379494,0,0,9931.673782,10024.96668,9838.380881,1.878694417,-20.5775625,0,1,4827.149902,21834.34961,13330.74976,171.3093378,0.068897292,0,0,-1223.848633,-365.1001421,-858.7484911,9927.771554,9927.771554,9779.29565,11003.14428,0.955836245,0.947593216,0.008243029,-0.359137938,8.137755105,1048.920474,-95.55888709,127.5441236,-223.1030107,13330.74976,13330.74976,13330.74976,13330.74976,0,0,0,0,-50.34689732,13858.40089,14694.21829,8,12,-4,12165.2998,21160.8645,0,0,37.57714213,0,0,0,56.62148642,38.73615587,6.889729174,4.253787853,-93.11027083,-1269.419964,0,-11.1227173,-3.34848686,-7.774230443,-25.10544206,-12.89059393,-12.21484813,14218.62681,14.57684127,13.60755147,-50.75805539,5235.700195,5417.200195,4899.700195,14018.5,19794,5198.149902,5537.299805,4882.049805,13996.09961,19822.69922,5244.600098,5539.149902,4918.799805,14049.84961,19843.30078,5159,5402,4827.149902,13991.34961,19772.65039,5550.600097,398.7042747,8658.680175,7324.598917,10196.8499,6345.077909,10719.39241,5750.594027,5592.133301,424.0673504,8677.239941,7308.087919,10267.49009,6382.941142,10740.7801,5760.668775,5612.233398,409.1006819,8717.969922,7344.124088,10303.16504,6400.926351,10793.45757,5774.6793,5514.733398,423.5069122,8610.439941,7318.773901,10156.85,6309.665652,10658.78755,5722.422353,40956.28,38161.6,2794.68,19437.49,18334.74,1102.75,6.25%,-0.25%,0,0,,,,,,
01-02-16,7555.950195,7600.450195,7541.25,7589.5,FALSE,200400,-365919.1026,1175900,-0.311182161,398809874.8,45870547.41,220660802.6,214049.7408,12374.55035,100,349.516724,9631.293884,20798.03392,-1535.446148,231.8845249,0.407074774,0,0,9635.949992,9724.981304,9546.91868,1.84789901,-11.18128237,0,1,4827.149902,21834.34961,13330.74976,176.5827096,0.160449712,0,0,-1310.55407,-554.1909277,-756.3631422,9631.293884,9631.293884,9437.242503,10747.79657,0.958610007,0.946652315,0.011957692,-0.571337256,9.182014245,1345.398144,-122.5686337,96.28002893,-218.8486626,13330.74976,13330.74976,13330.74976,13330.74976,0,0,0,0,-28.97059307,13858.40089,14694.21829,8,12,-4,12165.2998,20834.19021,0,0,42.02197426,0,0,0,52.34754215,41.90688314,16.04497119,8.445640003,-83.95502881,-3811.423017,0,-12.19369999,-5.117529487,-7.076170505,-22.47933302,-14.80834175,-7.670991271,14049.85064,25.95559717,23.07592554,-37.97701461,5998.899902,5235.700195,5417.200195,21741.90039,8715.599609,6040.950195,5198.149902,5537.299805,21727.75,8732.950195,6052.950195,5244.600098,5539.149902,21834.34961,8746.950195,5983.200195,5159,5402,21680.84961,8699.400391,6263.516764,1182.542421,5821.490136,1048.346654,12077.41489,6837.822072,11594.55749,6456.38156,6276.200032,1212.907947,5849.589941,1063.242556,12057.625,6777.814455,11586.5801,6411.800873,6299.333496,1197.094803,5871.190039,1052.768992,12130.85498,6846.818016,11643.24255,6468.151242,6227.816732,1209.816806,5782.520019,1070.012668,11983.16006,6748.330726,11520.05256,6393.0449,40956.28,38161.6,2794.68,19437.49,18334.74,1102.75,7.25%,0.25%,0,0,,,,,,
01-02-17,8716.400391,8722.400391,8537.5,8570.349609,FALSE,327700,-59486.76991,1503600,-0.039562896,396162682.6,59758322.32,188480306.6,264378.2262,11564.71913,100,349.516724,9529.639051,20073.43539,-1014.157285,221.2842749,0.461435206,0,0,9527.374096,9627.057528,9427.690664,2.092568868,-3.567745701,0,1,4827.149902,21834.34961,13330.74976,178.4663576,0.228682591,0,0,-1270.979065,-697.5485552,-573.43051,9529.639051,9529.639051,9326.343717,10597.32278,0.960558249,0.941480901,0.019077348,-0.746787195,10.41887374,1447.052977,-131.8296052,70.93451403,-202.7641192,13330.74976,13330.74976,13330.74976,13330.74976,0,0,0,0,-13.4458315,13858.40089,14694.21829,8,12,-4,12165.2998,20514.0494,0,0,45.15631967,0,0,0,49.28383935,42.08562531,22.86825907,15.26765314,-77.13174093,-2947.99152,0,-11.99339768,-6.492703126,-5.500694558,-15.0280901,-14.85229142,-0.175798685,13860.89372,15.35809747,14.28709953,-28.45146406,7555.950195,5998.899902,5235.700195,4899.700195,6018.049805,7589.5,6040.950195,5198.149902,4882.049805,6087.25,7600.450195,6052.950195,5244.600098,4918.799805,6108.700195,7541.25,5983.200195,5159,4827.149902,6011.75,7423.750163,1363.56513,6584.830176,1501.123865,10682.70483,6044.355005,11007.67239,5529.946403,7400.266601,1275.273425,6587.249902,1437.674084,10752.63013,6083.958055,11039.80759,5531.163252,7458.60026,1340.36642,6631.910156,1480.047975,10784.09512,6104.286493,11086.44011,5550.054347,7353.983398,1287.405709,6524.590039,1458.042481,10643.55498,6008.943598,10953.10503,5496.793139,40956.28,38161.6,2794.68,19437.49,18334.74,1102.75,6.50%,0.25%,0,0,,,,,,
01-02-18,11016.90039,11117.34961,10878.7998,11044.5498,FALSE,306200,-11157.87167,1809800,-0.006165251,440198456.5,184492374.9,187815651.3,345192.9052,11469.91028,100,441.7638888,9678.365185,19720.81398,-364.083606,207.5236592,0.566643865,0,0,9675.07168,9788.641749,9561.50161,2.34768431,6.407492668,1,0,4827.149902,21834.34961,13330.74976,175.7238891,0.363948833,3353.869972,0,-1041.973246,-766.4334933,-275.5397526,9678.365185,9678.365185,9586.429359,10628.4026,0.968436719,0.938484745,0.029951973,-0.852604844,11.82901145,1298.326843,-118.280338,45.58651293,-163.8668509,13330.74976,13330.74976,13330.74976,13330.74976,0,0,0,0,21.86349292,13858.40089,14694.21829,8,12,-4,12165.2998,20200.31141,0,0,50.83116191,0,0,0,47.39987138,35.93704255,36.39488331,25.10270452,-63.60511669,-1989.674878,0,-9.803667444,-7.15489599,-2.648771454,-10.07769463,-13.89737206,3.819677431,13702.50681,26.39277564,23.42241393,-9.567819495,8716.400391,7555.950195,5998.899902,5417.200195,8383.299805,8570.349609,7589.5,6040.950195,5537.299805,8378.900391,8722.400391,7600.450195,6052.950195,5539.149902,8415.049805,8537.5,7541.25,5983.200195,5402,8370.5,9096.416992,1761.491847,7704.770215,2292.490436,9678.365185,5292.835244,11112.4999,5492.54155,9068.133136,1780.500944,7688.699901,2289.475582,9678.884912,5282.189058,11144.47761,5494.911311,9146.733399,1796.437934,7747.550098,2316.460002,9730.209962,5304.220534,11190.52009,5513.351274,8985.849933,1713.351369,7619.949999,2247.410651,9616.639892,5291.697727,11058.20503,5459.909125,40956.28,38161.6,2794.68,19437.49,18334.74,1102.75,6%,0.25%,0,0,,,,,,
