Date,Close,High,Low,Open,Volume
01-02-23,18197.44922,18215.15039,18086.5,18131.69922,256100
01-03-23,18232.55078,18251.94922,18149.80078,18163.19922,208700
01-04-23,18042.94922,18243,18020.59961,18230.65039,235200
01-05-23,17992.15039,18120.30078,17892.59961,18101.94922,269900
01-06-23,17859.44922,18047.40039,17795.55078,18008.05078,238200
01-09-23,18101.19922,18141.40039,17936.15039,17952.55078,257200
01-10-23,17914.15039,18127.59961,17856,18121.30078,283300
01-11-23,17895.69922,17976.34961,17824.34961,17924.25,259900
01-12-23,17858.19922,17945.80078,17761.65039,17920.84961,227800
01-13-23,17956.59961,17999.34961,17774.25,17867.5,256700
01-16-23,17894.84961,18049.65039,17853.65039,18033.15039,206200
01-17-23,18053.30078,18072.05078,17886.94922,17922.80078,219100
01-18-23,18165.34961,18183.75,18032.44922,18074.30078,255800
01-19-23,18107.84961,18155.19922,18063.75,18119.80078,237800
01-20-23,18027.65039,18145.44922,18016.19922,18115.59961,237200
01-23-23,18118.55078,18162.59961,18063.44922,18118.44922,202500
01-24-23,18118.30078,18201.25,18078.65039,18183.94922,216900
01-25-23,17891.94922,18100.59961,17846.15039,18093.34961,257200
01-27-23,17604.34961,17884.75,17493.55078,17877.19922,476300
01-30-23,17648.94922,17709.15039,17405.55078,17541.94922,432400
01-31-23,17662.15039,17735.69922,17537.55078,17731.44922,398300
02-01-23,17616.30078,17972.19922,17353.40039,17811.59961,512900
02-02-23,17610.40039,17653.90039,17445.94922,17517.09961,490100
02-03-23,17854.05078,17870.30078,17584.19922,17721.75,424100
02-06-23,17764.59961,17823.69922,17698.34961,17818.55078,282500
02-07-23,17721.5,17811.15039,17652.55078,17790.09961,354400
02-08-23,17871.69922,17898.69922,17744.15039,17750.30078,291000
02-09-23,17893.44922,17916.90039,17779.80078,17885.5,260900
02-10-23,17856.5,17876.94922,17801,17847.55078,232000
02-13-23,17770.90039,17880.69922,17719.75,17859.09961,231300
02-14-23,17929.84961,17954.55078,17800.05078,17840.34961,244500
02-15-23,18015.84961,18034.09961,17853.80078,17896.59961,229300
02-16-23,18035.84961,18134.75,18000.65039,18094.75,230200
02-17-23,17944.19922,18034.25,17884.59961,17974.84961,208100
02-20-23,17844.59961,18004.34961,17818.40039,17965.55078,174600
02-21-23,17826.69922,17924.90039,17800.30078,17905.80078,198200
