Date ,Gross Purchase,Gross Sales,Net Purchase / Sales,Gross Purchase,Gross Sales,Net Purchase / Sales
Aug-12,"45,533.62","37,786.51","7,747.11","19,133.72","23,542.35","-4,408.63"
Jul-12,"47,179.02","41,276.07","5,902.95","19,252.18","24,522.85","-5,270.67"
Jun-12,"40,956.28","38,161.60","2,794.68","19,437.49","18,334.74","1,102.75"
May-12,"46,301.71","49,057.97","-2,756.26","20,906.69","20,199.47",707.22
Apr-12,"37,723.69","39,387.05","-1,663.36","19,033.07","18,250.06",783.01
Mar-12,"63,999.11","57,472.38","6,526.73","21,594.97","25,085.70","-3,490.73"
Feb-12,"76,648.78","53,412.40","23,236.38","24,653.67","36,195.05","-11,541.38"
Jan-12,"52,903.37","43,434.23","9,469.14","20,327.33","27,057.15","-6,729.82"
Dec-11,"38,711.73","41,098.87","-2,387.14","18,900.48","17,972.47",928.01
Nov-11,"43,094.11","49,602.82","-6,508.71","25,235.59","19,274.85","5,960.74"
Oct-11,"44,233.02","42,390.55","1,842.47","19,216.41","21,333.05","-2,116.64"
Sep-11,"50,283.64","53,372.51","-3,088.87","21,240.18","19,493.09","1,747.09"
Aug-11,"45,395.78","56,954.98","-11,559.20","28,430.65","20,439.54","7,991.11"
Jul-11,"50,802.29","46,520.79","4,281.50","25,153.30","25,123.23",30.07
Jun-11,"53,473.22","50,810.46","2,662.76","21,175.88","21,275.54",-99.66
May-11,"53,777.46","57,482.83","-3,705.37","25,090.68","20,997.47","4,093.21"
Apr-11,"49,090.25","49,085.85",4.4,"19,996.44","20,554.71",-558.27
Mar-11,"52,192.02","44,215.13","7,976.89","23,972.23","24,010.16",-37.93
Feb-11,"57,097.91","64,311.30","-7,213.39","27,598.55","21,567.65","6,030.90"
Jan-11,"57,526.07","66,429.67","-8,903.60","29,176.33","23,939.19","5,237.14"
Dec-10,"52,683.49","53,405.68",-722.19,"24,798.87","24,163.88",634.99
Nov-10,"79,726.26","74,375.39","5,350.87","32,674.49","30,205.67","2,468.82"
Oct-10,"77,706.10","63,318.04","14,388.06","28,069.00","39,881.90","-11,812.90"
Sep-10,"74,920.16","52,444.52","22,475.64","24,046.54","35,913.17","-11,866.63"
Aug-10,"56,120.24","48,582.94","7,537.30","24,770.34","29,323.02","-4,552.68"
Jul-10,"52,571.21","44,030.15","8,541.06","24,776.03","31,047.95","-6,271.92"
Jun-10,"51,878.01","44,164.06","7,713.95","23,549.21","28,326.26","-4,777.05"
May-10,"49,588.04","61,659.16","-12,071.12","29,971.71","23,610.52","6,361.19"
Apr-10,"55,061.05","52,393.68","2,667.37","26,283.22","24,092.56","2,190.66"
Mar-10,"59,692.57","44,900.24","14,792.33","25,818.47","30,954.32","-5,135.85"
Feb-10,"39,001.43","40,944.90","-1,943.47","21,547.80","20,235.85","1,311.95"
Jan-10,"56,109.18","63,325.85","-7,216.67","39,004.29","26,782.26","12,222.03"
Dec-09,"45,029.99","40,789.13","4,240.86","26,326.09","26,276.42",49.67
Nov-09,"48,761.93","47,053.86","1,708.07","28,355.29","25,964.25","2,391.04"
Oct-09,"63,964.86","63,964.73",0.13,"30,578.81","30,626.32",-47.51
Sep-09,"62,872.65","49,541.22","13,331.43","27,261.52","26,565.48",696.04
Aug-09,"45,722.53","49,489.56","-3,767.03","28,621.60","23,636.89","4,984.71"
Jul-09,"58,990.29","60,354.89","-1,364.60","34,970.99","29,152.01","5,818.98"
Jun-09,"61,767.47","61,852.61",-85.14,"35,173.50","32,539.72","2,633.78"
May-09,"73,016.96","59,130.87","13,886.09","27,344.70","27,427.15",-82.45
Apr-09,"38,871.53","33,311.43","5,560.10","17,871.64","18,653.97",-782.33
Mar-09,"31,646.90","32,330.47",-683.57,"19,256.22","15,304.69","3,951.53"
Feb-09,"22,066.26","24,899.69","-2,833.43","13,438.92","10,664.36","2,774.56"
Jan-09,"28,447.81","33,620.63","-5,172.82","18,644.12","14,925.98","3,718.14"
Dec-08,"29,362.68","28,327.87","1,034.81","16,472.77","14,566.49","1,906.28"
Nov-08,"28,093.92","33,552.88","-5,458.96","15,196.15","12,322.00","2,874.15"
Oct-08,"48,413.60","64,067.10","-15,653.50","26,254.38","15,458.08","10,796.30"
Sep-08,"65,932.27","78,435.01","-12,502.74","25,415.62","16,202.66","9,212.96"
Aug-08,"44,460.52","49,916.64","-5,456.12","17,813.52","14,841.14","2,972.38"
Jul-08,"62,050.69","66,654.69","-4,604.00","23,217.26","21,690.07","1,527.19"
Jun-08,"60,693.06","73,360.22","-12,667.16","23,754.33","15,126.36","8,627.97"
May-08,"58,982.92","65,678.51","-6,695.59","26,254.47","17,976.44","8,278.03"
Apr-08,"59,546.97","62,083.85","-2,536.88","21,678.24","18,277.26","3,400.98"
Mar-08,"68,472.59","72,236.39","-3,763.80","23,606.43","20,658.92","2,947.51"
Feb-08,"64,267.47","68,318.59","-4,051.12","24,064.99","20,056.65","4,008.34"
Jan-08,"97,579.50","1,27,027.01","-29,447.51","44,638.58","28,223.89","16,414.69"
Dec-07,"71,453.70","78,273.50","-6,819.80","29,495.28","24,543.14","4,952.14"
Nov-07,"83,268.52","96,957.78","-13,689.26","31,937.20","23,383.79","8,553.41"
Oct-07,"1,22,384.57","1,14,368.33","8,016.24","34,703.35","36,055.53","-1,352.18"
Sep-07,"67,664.52","51,306.56","16,357.96","21,424.73","26,188.40","-4,763.67"
Aug-07,"52,479.43","64,817.90","-12,338.47","26,496.41","17,347.14","9,149.27"
Jul-07,"69,757.41","61,888.56","7,868.85","23,643.81","24,231.23",-587.42
Jun-07,"45,673.87","47,035.12","-1,361.25","19,374.66","14,814.40","4,560.26"
May-07,"46,316.28","46,436.25",-119.97,"21,959.33","18,974.43","2,984.90"
Apr-07,"43,647.59","41,913.05","1,734.54","10,137.73","9,280.07",857.66
