Date,Open,High,Low,Close,Volume
03-01-2005,168.725,169.75,167.2814,169.15,1185200
04-01-2005,168.8438,169.5,166.75,167.5438,1312656
05-01-2005,166.25,167.2626,160.125,165.6,3669696
06-01-2005,165.875,168.125,161.5188,164.9876,3441640
07-01-2005,166.25,168.0876,163.8876,167.425,2627176
10-01-2005,168.75,170.125,165.1876,166.0626,2442576
11-01-2005,166.5,167.225,162.5,164.1938,3072184
12-01-2005,166.25,170.975,160.9064,162.15,7859264
13-01-2005,166.125,166.875,159.0126,161.6314,13729432
14-01-2005,163.125,164.75,159.8688,162.1188,6646864
17-01-2005,163.1314,164.85,155.1688,157.6626,5748408
18-01-2005,159.25,160.625,157.25,157.9438,2838616
19-01-2005,158.75,159.125,156.4064,156.8376,1830872
20-01-2005,156.875,157.5,153.75,155.1876,2383312
24-01-2005,155.625,156.125,151.875,152.45,2069208
25-01-2005,152,154.75,150.625,154.3376,1968368
27-01-2005,155,156.625,154.5,154.9376,1682024
28-01-2005,155.625,161.875,155.5,161.225,2935592
31-01-2005,161.8688,164,161.375,162.5814,2620200
01-02-2005,163.125,165.125,161,164.4876,4152952
02-02-2005,164.625,165.375,162.6564,163.2064,2140728
03-02-2005,163.625,164.25,162.65,163.7064,1440992
04-02-2005,163.75,165.2312,162.75,163.3188,834168
07-02-2005,164.375,166,162.625,163.8876,1431688
08-02-2005,164,165.4,163.3876,164.9626,1210352
09-02-2005,165.2814,167.9376,165,166.55,2184392
10-02-2005,166.2626,167.9064,165.1126,166.675,1345040
11-02-2005,168.1376,173.125,168.1376,172.7312,3679064
14-02-2005,175,177.5,173.875,175.9,2750184
15-02-2005,176.5,176.5,171.6564,172.7188,1409680
16-02-2005,173.75,174.4876,170.25,171,1504504
17-02-2005,171.625,173.1126,169.75,172.625,1933704
18-02-2005,172.625,173.9376,170,171.6626,1006952
21-02-2005,171.25,171.8376,170.2126,170.7312,501624
22-02-2005,171,171,168.8876,170.375,913656
23-02-2005,170.625,172.75,169.3938,172.0876,1550864
24-02-2005,172.5,174.6812,170.375,171.2688,3360776
25-02-2005,172.4626,172.725,169.125,170.5376,1925512
28-02-2005,170.625,173.0314,167.3876,172.6126,2737848
01-03-2005,172.25,173.125,168.8876,169.475,2026680
02-03-2005,169.875,171.475,169.875,170.975,693376
03-03-2005,171.25,174.375,170.5,173.475,981016
04-03-2005,174.5376,175.25,172.9438,173.8938,1390408
07-03-2005,174.6876,176,174.375,175.1126,1422624
08-03-2005,175,177.625,174.45,176.8688,1695912
09-03-2005,176.25,178.35,174.45,176.075,2019624
10-03-2005,175.25,176.375,174.3938,175.6812,944840
11-03-2005,176.125,179.375,175.75,178.6062,1562816
14-03-2005,180,182.75,177.5064,181.5376,2008952
15-03-2005,181.875,182.25,179.375,179.7876,1448920
16-03-2005,180,183.125,180,181.4564,1416680
17-03-2005,180.625,184.25,176.2814,182.8938,2336608
18-03-2005,182.4626,183.7564,178.3938,183.5126,1985600
21-03-2005,183.875,184.375,180.375,181.525,1549280
22-03-2005,181.875,182.125,180,180.2814,1185064
23-03-2005,180.625,181.25,176.525,177.525,1458192
24-03-2005,178.125,178.5,172.625,173.1876,1822368
28-03-2005,173.75,176,173.125,173.9376,1295392
29-03-2005,174.4876,174.4876,170.5,171.275,1079872
30-03-2005,171.625,175.375,170,173.65,1433008
31-03-2005,175,180.625,174.7,179.0938,1918896
01-04-2005,178.75,181.625,166.5562,180.8688,1749488
04-04-2005,181.25,182,167.375,178.3314,1443520
05-04-2005,178.75,180.3126,177.125,178.3,1322568
06-04-2005,178.75,180.5,177.5126,180.1062,678240
07-04-2005,181.125,181.125,177.75,178.1188,938848
08-04-2005,178.375,179.3626,173.7626,174.3814,1407504
11-04-2005,174.3814,174.3814,170,170.4,1037656
12-04-2005,170.6876,173.125,170.375,172.7938,1008432
13-04-2005,173.75,175.625,173.4,175.0626,1476944
15-04-2005,168.625,169.875,164.375,164.875,3840504
18-04-2005,164.375,168.625,161.875,165.025,2317560
19-04-2005,163.75,168.5876,147.5,151.2188,11810048
20-04-2005,148.625,148.625,136.375,139.4564,22108944
21-04-2005,139.375,143.4876,138.75,142.775,5748536
22-04-2005,144.3876,146.3062,143.1438,145.7938,4940368
25-04-2005,144.875,145.875,143.5626,144.7438,2124728
26-04-2005,143.5,145.375,142.125,142.5814,1346680
27-04-2005,141.25,141.25,138.8876,139.8,2118976
28-04-2005,139.75,140.75,137.625,139.2126,1941408
29-04-2005,139.125,143,139.125,141.2814,3941336
02-05-2005,141.25,144.7376,139.775,141.125,1952848
03-05-2005,141.125,141.875,138.1376,138.525,1854616
04-05-2005,139,140.6062,138.525,140.0876,1549384
05-05-2005,141.1126,143.7188,140.9876,142.0876,2341072
06-05-2005,142.4876,146.5,141.5376,145.8814,2253304
09-05-2005,146.4376,147.7438,145.8876,146.55,1435024
10-05-2005,147.3376,147.3376,143.3376,143.9626,2811480
11-05-2005,143.5126,144.35,142.3626,143.8626,1109208
12-05-2005,143.7438,145.15,142.9376,143.3062,1740520
13-05-2005,143.625,143.875,142.5,143.525,771864
16-05-2005,143.5,144.875,142.875,144.225,2664544
17-05-2005,145.1626,145.6,143.025,143.75,1394864
18-05-2005,143.125,143.75,140.3126,143.0376,1741168
19-05-2005,144.5,146.4376,144.125,145.3,1004512
20-05-2005,145.4626,146.5,142.625,146.0314,780088
23-05-2005,146.25,154.625,146.25,153.0376,3246624
24-05-2005,153.125,154.25,150.75,153.6688,1590632
25-05-2005,151.8814,158.75,151.8814,157.3876,4327288
26-05-2005,156.875,161.125,156.3938,160.5626,2528080
27-05-2005,161.25,162.375,157.125,158.7876,2176240
30-05-2005,158.75,166.6438,156.875,164.9376,5361736
31-05-2005,165.5,167.9938,163.1376,166.9,3453688
